tbCustomer,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CustomerID,FirstName,LastName,ShipMode,InputDate,InputBy,UpdateDate,UpdateBy,,,,,,,,,
AA-10315,Alex,Avila,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,tbCustomer,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,CustomerID,VARCHAR(100)
AA-10375,Allen,Armold,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,FirstName,VARCHAR(100)
,,,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,LastName,VARCHAR(100)
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,ShipMode,VARCHAR(20)
AA-10480,Andrew,Allen,Same Day,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,InputDate,DATETIME
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,InputBy,VARCHAR(100)
AA-10645,Anna,Andreadi,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,UpdateDate,DATETIME
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,UpdateBY,VARCHAR(100)
AB-10015,Aaron,Bergman,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AB-10060,Adam,Bellavance,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AB-10105,Adrian,Barton,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AB-10150,Aimee,Bixby,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AB-10165,Alan,Barnes,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AB-10255,Alejandro,Ballentine,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AB-10600,Ann,Blume,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AC-10420,Alyssa,Crouse,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AC-10450,Amy,Cox,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AC-10615,Ann,Chong,Same Day,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AC-10660,Anna,Chung,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AD-10180,Alan,Dominguez,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AF-10870,Art,Ferguson,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AF-10885,Art,Foster,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AG-10270,Alejandro,Grove,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AG-10300,Aleksandra,Gannaway,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AG-10330,Alex,Grayson,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Standard Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
AG-10390,Allen,Goldenen,First Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Same Day,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
,,,Second Class,01/04/2025,Dimas,23/04/2025,Aura,,,,,,,,,
